CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,wB97M-V
mlm_C1H1N1He2Mg2S2K1Cm1Bk1_9dd995,11,96,-0.6566259598937199,0.4737006314194684,0.4023201493988909,0.469998
mlm_C1H1N1He2Mg2S2K1Cm1Bk1_9dd995,12,97,0.8069451506634224,0.1719088601812956,0.5130216924244269,0.473232
mlm_C1H1O1B2Mg1Cf1No1_750a64,7,98,0.5839364303419311,0.6035339807095357,0.4701395361176148,0.687599
mlm_C1H1O1B2Mg1Cf1No1_750a64,8,102,1.4533877766067955,0.3337465655671725,0.7491541638117702,0.571611
mlm_C1H2B1Ar2Am1Md1_e3956d,7,95,-0.9727389872682948,0.5339516842576186,0.4219745375574008,0.450325
mlm_C1H2B1Ar2Am1Md1_e3956d,8,101,2.262429652156923,0.4136498223610197,0.7824862683352185,0.492101
mlm_C1H3Ge1Kr1U1Cf1_00be25,7,92,1.267897278381535,0.3359592152595518,0.5754495914084473,0.73944
mlm_C1H3Ge1Kr1U1Cf1_00be25,8,98,-0.6881747281465819,0.5033601613053709,0.5263564102922899,0.35767
mlm_C1H3N1Al1Pu1Md1_c41b52,7,94,-0.4626441305893577,0.5128974647860065,0.603783182892152,0.738955
mlm_C1H3N1Al1Pu1Md1_c41b52,8,101,1.3812897156079549,0.2814922979309966,0.6670266361576883,0.441498
mlm_C1H4S1Sr1Es1Lr1_0da54f,8,99,0.2783250637135726,0.3560481091080288,0.087691185357945,0.190734
mlm_C1H4S1Sr1Es1Lr1_0da54f,9,103,2.650047489181097,0.0747239052195717,0.9455949021769496,0.077568
mlm_C1H5B1F1Mg2U1Lr1_bb51b4,11,92,-0.723406287751358,0.3563099807527082,0.89641569879281,0.563357
mlm_C1H5B1F1Mg2U1Lr1_bb51b4,12,103,1.3509371684762816,0.1155455610709867,0.6363404969611398,0.269024
mlm_C1H6He1K2Fm1No1_c6c8e0,11,100,-0.7706655746036538,0.2066499932563905,0.4690545585918135,0.382233
mlm_C1H6He1K2Fm1No1_c6c8e0,12,102,0.6713248855168497,0.1026256576884668,0.5784855342302767,0.195786
mlm_C2H1N1Li1Rn1Pa1Fm1_6eec13,7,91,-0.7324800213696485,0.6786484076091099,0.8336664992722621,0.761344
mlm_C2H1N1Li1Rn1Pa1Fm1_6eec13,8,100,1.628988577670936,0.5778241856467929,0.8108701947182168,0.571533
mlm_C2H2F1Ar1Cf1Md1_0a3d00,7,98,1.1612811369944298,0.6058685271045533,0.5718519608354703,0.664984
mlm_C2H2F1Ar1Cf1Md1_0a3d00,8,101,0.9112973077758306,0.438453132736799,0.879152700296739,0.566719
mlm_C2H2S1Cl1Th1Cm1_a738ce,7,90,1.007256521203221,0.4661492622261014,0.598917395657179,0.811033
mlm_C2H2S1Cl1Th1Cm1_a738ce,8,96,-0.8610681519338477,0.4649935791710656,0.6435431606397575,0.300519
mlm_C2H3F2Bk1No1_5eab42,8,97,0.7657621545064015,0.4437963811982397,0.647118221546771,0.655151
mlm_C2H3F2Bk1No1_5eab42,9,102,1.040432233162236,0.4812948502613742,1.079699941027323,0.502261
mlm_C2H3O2He2Ba1Pa1Am1_8b7d3b,11,91,-1.0609790059628672,0.6936927720157102,0.7951207049568357,0.446975
