Subset      Reference   Calculated
ACONF            0.60     0.16
ACONF            0.61     0.20
ACONF            0.96    -0.07
ACONF            2.81     2.14
ACONF            0.59     0.19
ACONF            0.60     0.23
ACONF            0.93    -0.05
ACONF            1.18     0.37
ACONF            1.30     0.46
ACONF            1.25    -0.25
ACONF            2.63     1.95
ACONF            2.74     2.12
ACONF            3.28     2.32
ACONF            3.08     1.85
ACONF            4.92     3.91
ADIM6            1.34     1.56
ADIM6            1.99     2.38
ADIM6            2.89     3.49
ADIM6            3.78     4.56
ADIM6            4.60     5.66
ADIM6            5.55     6.71
AHB21          -17.79   -16.12
AHB21          -32.50   -34.11
AHB21          -65.68   -66.87
AHB21           -8.98    -5.06
AHB21          -15.61   -13.48
AHB21          -25.52   -25.10
AHB21          -14.35   -13.41
AHB21          -41.79   -42.52
AHB21          -17.03   -13.91
AHB21          -37.31   -38.99
AHB21           -7.97    -8.03
AHB21          -14.13   -15.82
AHB21          -26.01   -31.20
AHB21          -11.07   -15.16
AHB21           -8.62    -3.55
AHB21          -15.73   -12.96
AHB21          -26.24   -26.73
AHB21          -12.80    -9.80
AHB21          -20.65   -20.06
AHB21          -21.03   -20.49
AHB21          -31.40   -34.31
AL2X6           38.50    30.86
AL2X6           51.60    49.90
AL2X6           32.50    30.26
AL2X6           38.40    34.27
AL2X6           31.20    25.77
AL2X6           23.10    16.27
ALK8            86.47    72.71
ALK8            53.15    38.70
ALK8           131.13   138.47
ALK8            34.51    33.10
ALK8            47.42    50.28
ALK8            66.28    47.90
ALK8            56.55    64.93
ALK8            25.30    28.80
ALKBDE10       138.70   115.71
ALKBDE10       106.60    92.53
ALKBDE10        96.20    43.28
ALKBDE10       142.10   133.96
ALKBDE10       117.50   108.23
ALKBDE10       139.20   130.25
ALKBDE10        82.50    79.01
ALKBDE10        62.20    44.83
ALKBDE10        56.70    44.12
ALKBDE10        65.20    63.31
Amino20x4        1.17     0.18
Amino20x4        3.05     3.64
Amino20x4        3.32     4.89
Amino20x4        5.04     6.78
Amino20x4        1.58     3.43
Amino20x4        2.53     5.00
Amino20x4        2.80     4.60
Amino20x4        6.46    10.30
Amino20x4        0.39     0.76
Amino20x4        4.11     4.43
Amino20x4        4.76     4.84
Amino20x4        6.53     8.03
Amino20x4        0.16     0.57
Amino20x4        1.97     1.71
Amino20x4        2.90     3.07
Amino20x4        3.11     2.70
Amino20x4        0.28     0.43
Amino20x4        0.98     0.95
Amino20x4        0.99     0.82
Amino20x4        2.37     2.00
Amino20x4        0.42    -0.71
Amino20x4        3.27     1.38
Amino20x4        4.04     4.40
Amino20x4        4.15     2.97
Amino20x4        1.33     1.59
Amino20x4        1.54     1.98
Amino20x4        2.94     3.73
Amino20x4        5.22     6.32
Amino20x4        1.09     1.07
Amino20x4        2.63     3.02
Amino20x4        2.74     3.07
Amino20x4        4.09     4.53
Amino20x4        2.77     3.50
Amino20x4        2.99     3.49
Amino20x4        7.32     8.71
Amino20x4        7.37     9.44
Amino20x4        0.19     0.93
Amino20x4        0.59     0.39
Amino20x4        0.96     1.77
Amino20x4        0.99     1.17
Amino20x4        0.34    -0.54
Amino20x4        1.52     1.19
Amino20x4        1.69     0.76
Amino20x4        1.95     0.80
Amino20x4        0.06    -0.48
Amino20x4        0.20     0.17
Amino20x4        0.46     0.02
Amino20x4        0.54    -0.34
Amino20x4        1.81     1.69
Amino20x4        2.46     3.94
Amino20x4        2.47     2.77
Amino20x4        2.90     4.04
Amino20x4        0.87     0.61
Amino20x4        1.72     0.50
Amino20x4        1.84     1.78
Amino20x4        1.89     1.54
Amino20x4        1.40     1.97
Amino20x4        3.21     3.53
Amino20x4        4.19     4.86
Amino20x4        6.01     6.60
Amino20x4        3.03     3.32
Amino20x4        3.10     3.23
Amino20x4        3.51     3.84
Amino20x4        4.18     3.68
Amino20x4        1.34     1.69
Amino20x4        3.08     3.49
Amino20x4        3.51     3.62
Amino20x4        4.22     4.22
Amino20x4        1.29     1.00
Amino20x4        2.83     2.78
Amino20x4        3.24     4.31
Amino20x4        4.06     4.11
Amino20x4        0.09     0.17
Amino20x4        0.90     0.68
Amino20x4        1.71     1.66
Amino20x4        1.77     0.51
Amino20x4        0.85    -0.36
Amino20x4        0.86     0.96
Amino20x4        1.35     0.92
Amino20x4        1.48     0.53
BH76            17.70    11.19
BH76            82.60    83.98
BH76            42.10    51.42
BH76            42.10    51.42
BH76            17.80    23.18
BH76            17.80    23.18
BH76            30.50    28.46
BH76            56.90    54.52
BH76             1.50    -7.34
BH76           104.80   105.07
BH76             7.10     0.37
BH76            59.80    62.88
BH76            -0.60    -3.96
BH76            -0.60    -3.96
BH76            13.40     6.16
BH76            13.40     6.16
BH76             2.50     1.28
BH76             2.50     1.28
BH76            13.50     9.92
BH76            13.50     9.92
BH76           -12.30   -16.55
BH76            19.80    23.13
BH76             3.50    -3.89
