CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,GFN1-xTB,GFN2-xTB,wB97M-V
1.5A,1,6,0.0115315215717113,-0.1268533290466079,-0.0307137437490572,-0.06021747,-0.12620772,-0.075434
1.5A,2,1,0.1407562016104444,0.2908365182037505,0.3389156499226369,0.42267541,0.41343979,0.063329
1.5A,3,1,0.0601582902700262,0.0922905800406229,-0.0500647853630688,0.02555335,0.04689157,0.026818
1.5A,4,1,0.0614614733942642,0.1097976469643777,-0.0436082852524876,0.04082115,0.0571773,0.026578
1.5A,5,1,0.0998840762645301,0.1707692514018983,0.0194665847445593,0.16587028,0.15836921,0.035636
1.5A,6,8,-0.311875471624663,-0.2496491399369516,-0.1804056297769888,-0.29553943,-0.28309597,-0.035034
1.5A,7,8,-0.0619160854683138,-0.28719152762709,-0.0535897905255937,-0.29916329,-0.26657417,-0.041862
1.6A,1,6,0.0915891006603193,-0.1417880695151796,-0.0479309028744066,-0.06896441,-0.13313731,-0.074314
1.6A,2,1,0.1109369783711881,0.2673095209795179,0.3159822718469605,0.37843787,0.38781821,0.061972
1.6A,3,1,0.0415933188207511,0.0957750579024657,-0.0263762207458852,0.04753235,0.06435881,0.029219
1.6A,4,1,0.0518912793673135,0.1133043246342161,-0.020353197465973,0.05698205,0.07268793,0.034686
1.6A,5,1,0.0691772985488241,0.1663509091691882,0.0206935393171851,0.1522955,0.15032643,0.031009
1.6A,6,8,-0.2570706083641649,-0.2567866777888132,-0.1808879613488264,-0.28805354,-0.28067828,-0.048725
1.6A,7,8,-0.1081173674276883,-0.2441650653813952,-0.0611275287290543,-0.27822983,-0.26137579,-0.03381
1.7A,1,6,0.1013653661107953,-0.1616768730851913,-0.061352845310364,-0.06812574,-0.13703222,-0.078906
1.7A,2,1,0.0720019583496731,0.2533979960596826,0.2842299072503518,0.33633522,0.35572942,0.05467
1.7A,3,1,0.0094318556845642,0.1014677756045277,-0.0052418788256467,0.05047858,0.06959907,0.019676
1.7A,4,1,0.0415106338366739,0.1185039782322891,0.0004403469554346,0.06294812,0.08441632,0.039978
1.7A,5,1,0.0376033514672389,0.1661600590976327,0.0270057168465901,0.13433999,0.13445751,0.025843
1.7A,6,8,-0.1664156559675749,-0.2615719134545675,-0.1750876790408228,-0.27787413,-0.27391898,-0.060235
